timeraw,date,player,change,elo,rank
1680401788,"Sunday, April 2, 2023 4:16 AM","finx80#6969",17,2077,"Ascendant 3"
1680403897,"Sunday, April 2, 2023 4:51 AM","Basil#007",32,1032,"Gold 2"
1680406138,"Sunday, April 2, 2023 5:28 AM","Basil#007",19,1051,"Gold 2"
1680408238,"Sunday, April 2, 2023 6:03 AM","Basil#007",17,1068,"Gold 2"
1680410110,"Sunday, April 2, 2023 6:35 AM","Basil#007",-23,1045,"Gold 2"
1680449478,"Sunday, April 2, 2023 5:31 PM","finx80#6969",-19,2058,"Ascendant 3"
1680462721,"Sunday, April 2, 2023 9:12 PM","Raison163#NA1",24,1264,"Platinum 1"
1680465847,"Sunday, April 2, 2023 10:04 PM","finx80#6969",17,2075,"Ascendant 3"
1680468351,"Sunday, April 2, 2023 10:45 PM","S is for Salt#TF77",19,1875,"Ascendant 1"
1680468351,"Sunday, April 2, 2023 10:45 PM","finx80#6969",20,2095,"Ascendant 3"
1680469778,"Sunday, April 2, 2023 11:09 PM","S is for Salt#TF77",20,1895,"Ascendant 1"
1680469778,"Sunday, April 2, 2023 11:09 PM","finx80#6969",19,2114,"Immortal 1"
1680472366,"Sunday, April 2, 2023 11:52 PM","S is for Salt#TF77",17,1912,"Ascendant 2"
1680472366,"Sunday, April 2, 2023 11:52 PM","Phyzzl#2702",22,1553,"Diamond 1"
1680473714,"Monday, April 3, 2023 12:15 AM","Raison163#NA1",-23,1241,"Platinum 1"
1680474903,"Monday, April 3, 2023 12:35 AM","rin#jane",-23,725,"Silver 2"
1680484170,"Monday, April 3, 2023 3:09 AM","Raison163#NA1",15,1256,"Platinum 1"
1680494745,"Monday, April 3, 2023 6:05 AM","S is for Salt#TF77",15,1927,"Ascendant 2"
1680497399,"Monday, April 3, 2023 6:49 AM","S is for Salt#TF77",15,1942,"Ascendant 2"
1680501257,"Monday, April 3, 2023 7:54 AM","S is for Salt#TF77",19,1961,"Ascendant 2"
