timeraw,date,change,elo,rank
1685127100,"Friday, May 26, 2023 6:51 PM",15,1144,"Gold 3"
1685147520,"Saturday, May 27, 2023 12:31 AM",14,1158,"Gold 3"
1685149917,"Saturday, May 27, 2023 1:11 AM",15,1173,"Gold 3"
1685152732,"Saturday, May 27, 2023 1:58 AM",16,1189,"Gold 3"
1685158193,"Saturday, May 27, 2023 3:29 AM",19,1210,"Platinum 1"
1685313666,"Sunday, May 28, 2023 10:41 PM",-18,1200,"Platinum 1"
1685316446,"Sunday, May 28, 2023 11:27 PM",21,1221,"Platinum 1"
1685399159,"Monday, May 29, 2023 10:25 PM",28,1249,"Platinum 1"
1685401882,"Monday, May 29, 2023 11:11 PM",-23,1226,"Platinum 1"
1685404164,"Monday, May 29, 2023 11:49 PM",-20,1206,"Platinum 1"
1685406141,"Tuesday, May 30, 2023 12:22 AM",-17,1200,"Platinum 1"
1685410069,"Tuesday, May 30, 2023 1:27 AM",14,1214,"Platinum 1"
1685412329,"Tuesday, May 30, 2023 2:05 AM",-12,1202,"Platinum 1"
1685465155,"Tuesday, May 30, 2023 4:45 PM",18,1220,"Platinum 1"
1685481543,"Tuesday, May 30, 2023 9:19 PM",-22,1200,"Platinum 1"
1685484343,"Tuesday, May 30, 2023 10:05 PM",-28,1172,"Gold 3"
1685544466,"Wednesday, May 31, 2023 2:47 PM",7,1179,"Gold 3"
1685548489,"Wednesday, May 31, 2023 3:54 PM",11,1190,"Gold 3"
1685550933,"Wednesday, May 31, 2023 4:35 PM",-15,1175,"Gold 3"
1685554279,"Wednesday, May 31, 2023 5:31 PM",-27,1148,"Gold 3"
1685557131,"Wednesday, May 31, 2023 6:18 PM",-17,1131,"Gold 3"
1685561266,"Wednesday, May 31, 2023 7:27 PM",18,1149,"Gold 3"
1685564445,"Wednesday, May 31, 2023 8:20 PM",22,1171,"Gold 3"
1685567281,"Wednesday, May 31, 2023 9:08 PM",-22,1149,"Gold 3"
